translation "Kitchen knife","Coltello da cucina"
translation "Suffix_Magic_Initiative_Shield_Larger","Suffix_Magic_Initiative_Shield_Larger"
translation "Suffix_Magic_Initiative_Shield_Largest","Suffix_Magic_Initiative_Shield_Largest"
translation "Prefix_Magic_Durability_Shield_Small","Prefix_Magic_Durability_Shield_Small"
translation "Prefix_Magic_Durability_Shield_Medium","Prefix_Magic_Durability_Shield_Medium"
translation "Prefix_Magic_Durability_Shield_Larger","Prefix_Magic_Durability_Shield_Larger"
translation "Prefix_Magic_Durability_Shield_Largest","Prefix_Magic_Durability_Shield_Largest"
translation "Suffix_Magic_Durability_Shield_Small","Suffix_Magic_Durability_Shield_Small"
translation "Suffix_Magic_Durability_Shield_Medium","Suffix_Magic_Durability_Shield_Medium"
translation "Suffix_Magic_Durability_Shield_Larger","Suffix_Magic_Durability_Shield_Larger"
translation "Suffix_Magic_Durability_Shield_Largest","Suffix_Magic_Durability_Shield_Largest"
translation "Prefix_Magic_Value_Shield_Small","Prefix_Magic_Value_Shield_Small"
translation "Prefix_Magic_Value_Shield_Medium","Prefix_Magic_Value_Shield_Medium"
translation "Prefix_Magic_Value_Shield_Larger","Prefix_Magic_Value_Shield_Larger"
translation "Prefix_Magic_Value_Shield_Largest","Prefix_Magic_Value_Shield_Largest"
translation "Suffix_Magic_Value_Shield_Small","Suffix_Magic_Value_Shield_Small"
translation "Suffix_Magic_Value_Shield_Medium","Suffix_Magic_Value_Shield_Medium"
translation "Suffix_Magic_Value_Shield_Larger","Suffix_Magic_Value_Shield_Larger"
translation "Suffix_Magic_Value_Shield_Largest","Suffix_Magic_Value_Shield_Largest"
translation "Prefix_Magic_Strength_Shield_Small","Prefix_Magic_Strength_Shield_Small"
translation "Prefix_Magic_Strength_Shield_Medium","Prefix_Magic_Strength_Shield_Medium"
translation "Prefix_Magic_Strength_Shield_Larger","Prefix_Magic_Strength_Shield_Larger"
translation "Prefix_Magic_Strength_Shield_Largest","Prefix_Magic_Strength_Shield_Largest"
translation "Suffix_Magic_Strength_Shield_Small","Suffix_Magic_Strength_Shield_Small"
translation "Suffix_Magic_Strength_Shield_Medium","Suffix_Magic_Strength_Shield_Medium"
translation "Suffix_Magic_Strength_Shield_Larger","Suffix_Magic_Strength_Shield_Larger"
translation "Suffix_Magic_Strength_Shield_Largest","Suffix_Magic_Strength_Shield_Largest"
translation "Prefix_Magic_Agility_Shield_Small","Prefix_Magic_Agility_Shield_Small"
translation "Prefix_Magic_Agility_Shield_Medium","Prefix_Magic_Agility_Shield_Medium"
translation "Prefix_Magic_Agility_Shield_Larger","Prefix_Magic_Agility_Shield_Larger"
translation "Prefix_Magic_Agility_Shield_Largest","Prefix_Magic_Agility_Shield_Largest"
translation "Suffix_Magic_Agility_Shield_Small","Suffix_Magic_Agility_Shield_Small"
translation "Suffix_Magic_Agility_Shield_Medium","Suffix_Magic_Agility_Shield_Medium"
translation "Suffix_Magic_Agility_Shield_Larger","Suffix_Magic_Agility_Shield_Larger"
translation "Suffix_Magic_Agility_Shield_Largest","Suffix_Magic_Agility_Shield_Largest"
translation "Prefix_Magic_Intelligence_Shield_Small","Prefix_Magic_Intelligence_Shield_Small"
translation "Prefix_Magic_Intelligence_Shield_Medium","Prefix_Magic_Intelligence_Shield_Medium"
translation "Prefix_Magic_Intelligence_Shield_Larger","Prefix_Magic_Intelligence_Shield_Larger"
translation "Prefix_Magic_Intelligence_Shield_Largest","Prefix_Magic_Intelligence_Shield_Largest"
translation "Suffix_Magic_Intelligence_Shield_Small","Suffix_Magic_Intelligence_Shield_Small"
translation "Suffix_Magic_Intelligence_Shield_Medium","Suffix_Magic_Intelligence_Shield_Medium"
translation "Suffix_Magic_Intelligence_Shield_Larger","Suffix_Magic_Intelligence_Shield_Larger"
translation "Suffix_Magic_Intelligence_Shield_Largest","Suffix_Magic_Intelligence_Shield_Largest"
translation "Prefix_Magic_Survival_Shield_Small","Prefix_Magic_Survival_Shield_Small"
translation "Prefix_Magic_Survival_Shield_Medium","Prefix_Magic_Survival_Shield_Medium"
translation "Prefix_Magic_Survival_Shield_Larger","Prefix_Magic_Survival_Shield_Larger"
translation "Prefix_Magic_Survival_Shield_Largest","Prefix_Magic_Survival_Shield_Largest"
translation "Suffix_Magic_Survival_Shield_Small","Suffix_Magic_Survival_Shield_Small"
translation "Suffix_Magic_Survival_Shield_Medium","Suffix_Magic_Survival_Shield_Medium"
translation "Suffix_Magic_Survival_Shield_Larger","Suffix_Magic_Survival_Shield_Larger"
translation "Suffix_Magic_Survival_Shield_Largest","Suffix_Magic_Survival_Shield_Largest"
translation "Prefix_Magic_Constitution_Shield_Small","Prefix_Magic_Constitution_Shield_Small"
translation "Prefix_Magic_Constitution_Shield_Medium","Prefix_Magic_Constitution_Shield_Medium"
translation "Prefix_Magic_Constitution_Shield_Larger","Prefix_Magic_Constitution_Shield_Larger"
translation "Prefix_Magic_Constitution_Shield_Largest","Prefix_Magic_Constitution_Shield_Largest"
translation "Suffix_Magic_Constitution_Shield_Small","Suffix_Magic_Constitution_Shield_Small"
translation "Suffix_Magic_Constitution_Shield_Medium","Suffix_Magic_Constitution_Shield_Medium"
translation "Suffix_Magic_Constitution_Shield_Larger","Suffix_Magic_Constitution_Shield_Larger"
translation "Suffix_Magic_Constitution_Shield_Largest","Suffix_Magic_Constitution_Shield_Largest"
translation "Prefix_Magic_Luck_Shield_Small","Prefix_Magic_Luck_Shield_Small"
translation "Prefix_Magic_Luck_Shield_Medium","Prefix_Magic_Luck_Shield_Medium"
translation "Prefix_Magic_Luck_Shield_Larger","Prefix_Magic_Luck_Shield_Larger"
translation "Prefix_Magic_Luck_Shield_Largest","Prefix_Magic_Luck_Shield_Largest"
translation "Suffix_Magic_Luck_Shield_Small","Suffix_Magic_Luck_Shield_Small"
translation "Suffix_Magic_Luck_Shield_Medium","Suffix_Magic_Luck_Shield_Medium"
translation "Suffix_Magic_Luck_Shield_Larger","Suffix_Magic_Luck_Shield_Larger"
translation "Suffix_Magic_Luck_Shield_Largest","Suffix_Magic_Luck_Shield_Largest"
translation "Prefix_Magic_Regeneration_Shield_Small","Prefix_Magic_Regeneration_Shield_Small"
translation "Prefix_Magic_Regeneration_Shield_Medium","Prefix_Magic_Regeneration_Shield_Medium"
translation "Prefix_Magic_Regeneration_Shield_Larger","Prefix_Magic_Regeneration_Shield_Larger"
translation "Prefix_Magic_Regeneration_Shield_Largest","Prefix_Magic_Regeneration_Shield_Largest"
translation "Suffix_Magic_Regeneration_Shield_Small","Suffix_Magic_Regeneration_Shield_Small"
translation "Suffix_Magic_Regeneration_Shield_Medium","Suffix_Magic_Regeneration_Shield_Medium"
translation "Suffix_Magic_Regeneration_Shield_Larger","Suffix_Magic_Regeneration_Shield_Larger"
translation "Suffix_Magic_Regeneration_Shield_Largest","Suffix_Magic_Regeneration_Shield_Largest"
translation "Prefix_Magic_Stamina_Shield_Small","Prefix_Magic_Stamina_Shield_Small"
translation "Prefix_Magic_Stamina_Shield_Medium","Prefix_Magic_Stamina_Shield_Medium"
translation "Prefix_Magic_Stamina_Shield_Larger","Prefix_Magic_Stamina_Shield_Larger"
translation "Prefix_Magic_Stamina_Shield_Largest","Prefix_Magic_Stamina_Shield_Largest"
translation "Suffix_Magic_Stamina_Shield_Small","Suffix_Magic_Stamina_Shield_Small"
translation "Suffix_Magic_Stamina_Shield_Medium","Suffix_Magic_Stamina_Shield_Medium"
translation "Suffix_Magic_Stamina_Shield_Larger","Suffix_Magic_Stamina_Shield_Larger"
translation "Suffix_Magic_Stamina_Shield_Largest","Suffix_Magic_Stamina_Shield_Largest"
translation "Prefix_Magic_FireResistance_Shield_Small","Prefix_Magic_FireResistance_Shield_Small"
translation "Prefix_Magic_FireResistance_Shield_Medium","Prefix_Magic_FireResistance_Shield_Medium"
translation "Prefix_Magic_FireResistance_Shield_Larger","Prefix_Magic_FireResistance_Shield_Larger"
translation "Prefix_Magic_FireResistance_Shield_Largest","Prefix_Magic_FireResistance_Shield_Largest"
translation "Suffix_Magic_FireResistance_Shield_Small","Suffix_Magic_FireResistance_Shield_Small"
translation "Suffix_Magic_FireResistance_Shield_Medium","Suffix_Magic_FireResistance_Shield_Medium"
translation "Suffix_Magic_FireResistance_Shield_Larger","Suffix_Magic_FireResistance_Shield_Larger"
translation "Suffix_Magic_FireResistance_Shield_Largest","Suffix_Magic_FireResistance_Shield_Largest"
translation "Prefix_Magic_EarthResistance_Shield_Small","Prefix_Magic_EarthResistance_Shield_Small"
translation "Prefix_Magic_EarthResistance_Shield_Medium","Prefix_Magic_EarthResistance_Shield_Medium"
translation "Prefix_Magic_EarthResistance_Shield_Larger","Prefix_Magic_EarthResistance_Shield_Larger"
translation "Prefix_Magic_EarthResistance_Shield_Largest","Prefix_Magic_EarthResistance_Shield_Largest"
translation "Suffix_Magic_EarthResistance_Shield_Small","Suffix_Magic_EarthResistance_Shield_Small"
translation "Suffix_Magic_EarthResistance_Shield_Medium","Suffix_Magic_EarthResistance_Shield_Medium"
translation "Suffix_Magic_EarthResistance_Shield_Larger","Suffix_Magic_EarthResistance_Shield_Larger"
translation "Suffix_Magic_EarthResistance_Shield_Largest","Suffix_Magic_EarthResistance_Shield_Largest"
translation "Prefix_Magic_WaterResistance_Shield_Small","Prefix_Magic_WaterResistance_Shield_Small"
translation "Prefix_Magic_WaterResistance_Shield_Medium","Prefix_Magic_WaterResistance_Shield_Medium"
translation "Prefix_Magic_WaterResistance_Shield_Larger","Prefix_Magic_WaterResistance_Shield_Larger"
translation "Prefix_Magic_WaterResistance_Shield_Largest","Prefix_Magic_WaterResistance_Shield_Largest"
translation "Suffix_Magic_WaterResistance_Shield_Small","Suffix_Magic_WaterResistance_Shield_Small"
translation "Suffix_Magic_WaterResistance_Shield_Medium","Suffix_Magic_WaterResistance_Shield_Medium"
translation "Suffix_Magic_WaterResistance_Shield_Larger","Suffix_Magic_WaterResistance_Shield_Larger"
translation "Suffix_Magic_WaterResistance_Shield_Largest","Suffix_Magic_WaterResistance_Shield_Largest"
translation "Prefix_Magic_AirResistance_Shield_Small","Prefix_Magic_AirResistance_Shield_Small"
translation "Prefix_Magic_AirResistance_Shield_Medium","Prefix_Magic_AirResistance_Shield_Medium"
translation "Prefix_Magic_AirResistance_Shield_Larger","Prefix_Magic_AirResistance_Shield_Larger"
translation "Prefix_Magic_AirResistance_Shield_Largest","Prefix_Magic_AirResistance_Shield_Largest"
translation "Suffix_Magic_AirResistance_Shield_Small","Suffix_Magic_AirResistance_Shield_Small"
translation "Suffix_Magic_AirResistance_Shield_Medium","Suffix_Magic_AirResistance_Shield_Medium"
translation "Suffix_Magic_AirResistance_Shield_Larger","Suffix_Magic_AirResistance_Shield_Larger"
translation "Suffix_Magic_AirResistance_Shield_Largest","Suffix_Magic_AirResistance_Shield_Largest"
translation "Prefix_Magic_PoisonResistance_Shield_Small","Prefix_Magic_PoisonResistance_Shield_Small"
translation "Prefix_Magic_PoisonResistance_Shield_Medium","Prefix_Magic_PoisonResistance_Shield_Medium"
translation "Prefix_Magic_PoisonResistance_Shield_Larger","Prefix_Magic_PoisonResistance_Shield_Larger"
translation "Prefix_Magic_PoisonResistance_Shield_Largest","Prefix_Magic_PoisonResistance_Shield_Largest"
translation "Suffix_Magic_PoisonResistance_Shield_Small","Suffix_Magic_PoisonResistance_Shield_Small"
translation "Suffix_Magic_PoisonResistance_Shield_Medium","Suffix_Magic_PoisonResistance_Shield_Medium"
translation "Suffix_Magic_PoisonResistance_Shield_Larger","Suffix_Magic_PoisonResistance_Shield_Larger"
translation "Suffix_Magic_PoisonResistance_Shield_Largest","Suffix_Magic_PoisonResistance_Shield_Largest"
translation "Prefix_Magic_SpiritualResistance_Shield_Small","Prefix_Magic_SpiritualResistance_Shield_Small"
translation "Prefix_Magic_SpiritualResistance_Shield_Medium","Prefix_Magic_SpiritualResistance_Shield_Medium"
translation "Prefix_Magic_SpiritualResistance_Shield_Larger","Prefix_Magic_SpiritualResistance_Shield_Larger"
translation "Prefix_Magic_SpiritualResistance_Shield_Largest","Prefix_Magic_SpiritualResistance_Shield_Largest"
translation "Suffix_Magic_SpiritualResistance_Shield_Small","Suffix_Magic_SpiritualResistance_Shield_Small"
translation "Suffix_Magic_SpiritualResistance_Shield_Medium","Suffix_Magic_SpiritualResistance_Shield_Medium"
translation "Suffix_Magic_SpiritualResistance_Shield_Larger","Suffix_Magic_SpiritualResistance_Shield_Larger"
translation "Suffix_Magic_SpiritualResistance_Shield_Largest","Suffix_Magic_SpiritualResistance_Shield_Largest"
translation "Prefix_Magic_EtherealResistance_Shield_Small","Prefix_Magic_EtherealResistance_Shield_Small"
translation "Prefix_Magic_EtherealResistance_Shield_Medium","Prefix_Magic_EtherealResistance_Shield_Medium"
translation "Prefix_Magic_EtherealResistance_Shield_Larger","Prefix_Magic_EtherealResistance_Shield_Larger"
translation "Prefix_Magic_EtherealResistance_Shield_Largest","Prefix_Magic_EtherealResistance_Shield_Largest"
translation "Suffix_Magic_EtherealResistance_Shield_Small","Suffix_Magic_EtherealResistance_Shield_Small"
translation "Suffix_Magic_EtherealResistance_Shield_Medium","Suffix_Magic_EtherealResistance_Shield_Medium"
translation "Suffix_Magic_EtherealResistance_Shield_Larger","Suffix_Magic_EtherealResistance_Shield_Larger"
translation "Suffix_Magic_EtherealResistance_Shield_Largest","Suffix_Magic_EtherealResistance_Shield_Largest"
translation "Prefix_Magic_PiercingResistance_Shield_Small","Prefix_Magic_PiercingResistance_Shield_Small"
translation "Prefix_Magic_PiercingResistance_Shield_Medium","Prefix_Magic_PiercingResistance_Shield_Medium"
translation "Prefix_Magic_PiercingResistance_Shield_Larger","Prefix_Magic_PiercingResistance_Shield_Larger"
translation "Prefix_Magic_PiercingResistance_Shield_Largest","Prefix_Magic_PiercingResistance_Shield_Largest"
translation "Suffix_Magic_PiercingResistance_Shield_Small","Suffix_Magic_PiercingResistance_Shield_Small"
translation "Suffix_Magic_PiercingResistance_Shield_Medium","Suffix_Magic_PiercingResistance_Shield_Medium"
translation "Suffix_Magic_PiercingResistance_Shield_Larger","Suffix_Magic_PiercingResistance_Shield_Larger"
translation "Suffix_Magic_PiercingResistance_Shield_Largest","Suffix_Magic_PiercingResistance_Shield_Largest"
translation "Prefix_Magic_SlashingResistance_Shield_Small","Prefix_Magic_SlashingResistance_Shield_Small"
translation "Prefix_Magic_SlashingResistance_Shield_Medium","Prefix_Magic_SlashingResistance_Shield_Medium"
translation "Prefix_Magic_SlashingResistance_Shield_Larger","Prefix_Magic_SlashingResistance_Shield_Larger"
translation "Prefix_Magic_SlashingResistance_Shield_Largest","Prefix_Magic_SlashingResistance_Shield_Largest"
translation "Suffix_Magic_SlashingResistance_Shield_Small","Suffix_Magic_SlashingResistance_Shield_Small"
translation "Suffix_Magic_SlashingResistance_Shield_Medium","Suffix_Magic_SlashingResistance_Shield_Medium"
translation "Suffix_Magic_SlashingResistance_Shield_Larger","Suffix_Magic_SlashingResistance_Shield_Larger"
translation "Suffix_Magic_SlashingResistance_Shield_Largest","Suffix_Magic_SlashingResistance_Shield_Largest"
translation "Prefix_Magic_CrushingResistance_Shield_Small","Prefix_Magic_CrushingResistance_Shield_Small"
translation "Prefix_Magic_CrushingResistance_Shield_Medium","Prefix_Magic_CrushingResistance_Shield_Medium"
translation "Prefix_Magic_CrushingResistance_Shield_Larger","Prefix_Magic_CrushingResistance_Shield_Larger"
translation "Prefix_Magic_CrushingResistance_Shield_Largest","Prefix_Magic_CrushingResistance_Shield_Largest"
translation "Suffix_Magic_CrushingResistance_Shield_Small","Suffix_Magic_CrushingResistance_Shield_Small"
translation "Suffix_Magic_CrushingResistance_Shield_Medium","Suffix_Magic_CrushingResistance_Shield_Medium"
translation "Suffix_Magic_CrushingResistance_Shield_Larger","Suffix_Magic_CrushingResistance_Shield_Larger"
translation "Suffix_Magic_CrushingResistance_Shield_Largest","Suffix_Magic_CrushingResistance_Shield_Largest"
translation "Prefix_Magic_ShadowResistance_Shield_Small","Prefix_Magic_ShadowResistance_Shield_Small"
translation "Prefix_Magic_ShadowResistance_Shield_Medium","Prefix_Magic_ShadowResistance_Shield_Medium"
translation "Prefix_Magic_ShadowResistance_Shield_Larger","Prefix_Magic_ShadowResistance_Shield_Larger"
translation "Prefix_Magic_ShadowResistance_Shield_Largest","Prefix_Magic_ShadowResistance_Shield_Largest"
translation "Suffix_Magic_ShadowResistance_Shield_Small","Suffix_Magic_ShadowResistance_Shield_Small"
translation "Suffix_Magic_ShadowResistance_Shield_Medium","Suffix_Magic_ShadowResistance_Shield_Medium"
translation "Suffix_Magic_ShadowResistance_Shield_Larger","Suffix_Magic_ShadowResistance_Shield_Larger"
translation "Suffix_Magic_ShadowResistance_Shield_Largest","Suffix_Magic_ShadowResistance_Shield_Largest"
translation "Prefix_Magic_BoneResistance_Shield_Small","Prefix_Magic_BoneResistance_Shield_Small"
translation "Prefix_Magic_BoneResistance_Shield_Medium","Prefix_Magic_BoneResistance_Shield_Medium"
translation "Prefix_Magic_BoneResistance_Shield_Larger","Prefix_Magic_BoneResistance_Shield_Larger"
translation "Prefix_Magic_BoneResistance_Shield_Largest","Prefix_Magic_BoneResistance_Shield_Largest"
translation "Suffix_Magic_BoneResistance_Shield_Small","Suffix_Magic_BoneResistance_Shield_Small"
translation "Suffix_Magic_BoneResistance_Shield_Medium","Suffix_Magic_BoneResistance_Shield_Medium"
translation "Suffix_Magic_BoneResistance_Shield_Larger","Suffix_Magic_BoneResistance_Shield_Larger"
translation "Suffix_Magic_BoneResistance_Shield_Largest","Suffix_Magic_BoneResistance_Shield_Largest"
translation "Prefix_Magic_Sight_Shield_Small","Prefix_Magic_Sight_Shield_Small"
translation "Prefix_Magic_Sight_Shield_Medium","Prefix_Magic_Sight_Shield_Medium"
translation "Prefix_Magic_Sight_Shield_Larger","Prefix_Magic_Sight_Shield_Larger"
translation "Prefix_Magic_Sight_Shield_Largest","Prefix_Magic_Sight_Shield_Largest"
translation "Suffix_Magic_Sight_Shield_Small","Suffix_Magic_Sight_Shield_Small"
translation "Suffix_Magic_Sight_Shield_Medium","Suffix_Magic_Sight_Shield_Medium"
translation "Suffix_Magic_Sight_Shield_Larger","Suffix_Magic_Sight_Shield_Larger"
translation "Suffix_Magic_Sight_Shield_Largest","Suffix_Magic_Sight_Shield_Largest"
translation "Prefix_Magic_Hearing_Shield_Small","Prefix_Magic_Hearing_Shield_Small"
translation "Prefix_Magic_Hearing_Shield_Medium","Prefix_Magic_Hearing_Shield_Medium"
translation "Prefix_Magic_Hearing_Shield_Larger","Prefix_Magic_Hearing_Shield_Larger"
translation "Prefix_Magic_Hearing_Shield_Largest","Prefix_Magic_Hearing_Shield_Largest"
translation "Suffix_Magic_Hearing_Shield_Small","Suffix_Magic_Hearing_Shield_Small"
translation "Suffix_Magic_Hearing_Shield_Medium","Suffix_Magic_Hearing_Shield_Medium"
translation "Suffix_Magic_Hearing_Shield_Larger","Suffix_Magic_Hearing_Shield_Larger"
translation "Suffix_Magic_Hearing_Shield_Largest","Suffix_Magic_Hearing_Shield_Largest"
translation "Prefix_Magic_Vitality_Shield_Small","Prefix_Magic_Vitality_Shield_Small"
translation "Prefix_Magic_Vitality_Shield_Medium","Prefix_Magic_Vitality_Shield_Medium"
translation "Prefix_Magic_Vitality_Shield_Larger","Prefix_Magic_Vitality_Shield_Larger"
translation "Prefix_Magic_Vitality_Shield_Largest","Prefix_Magic_Vitality_Shield_Largest"
translation "Suffix_Magic_Vitality_Shield_Small","Suffix_Magic_Vitality_Shield_Small"
translation "Suffix_Magic_Vitality_Shield_Medium","Suffix_Magic_Vitality_Shield_Medium"
translation "Suffix_Magic_Vitality_Shield_Larger","Suffix_Magic_Vitality_Shield_Larger"
translation "Suffix_Magic_Vitality_Shield_Largest","Suffix_Magic_Vitality_Shield_Largest"
translation "Prefix_Magic_MagicPoints_Shield_Small","Prefix_Magic_MagicPoints_Shield_Small"
translation "Prefix_Magic_MagicPoints_Shield_Medium","Prefix_Magic_MagicPoints_Shield_Medium"
translation "Prefix_Magic_MagicPoints_Shield_Larger","Prefix_Magic_MagicPoints_Shield_Larger"
translation "Prefix_Magic_MagicPoints_Shield_Largest","Prefix_Magic_MagicPoints_Shield_Largest"
translation "Suffix_Magic_MagicPoints_Shield_Small","Suffix_Magic_MagicPoints_Shield_Small"
translation "Suffix_Magic_MagicPoints_Shield_Medium","Suffix_Magic_MagicPoints_Shield_Medium"
translation "Suffix_Magic_MagicPoints_Shield_Larger","Suffix_Magic_MagicPoints_Shield_Larger"
translation "Suffix_Magic_MagicPoints_Shield_Largest","Suffix_Magic_MagicPoints_Shield_Largest"
translation "Prefix_Magic_Evasion_Shield_Small","Prefix_Magic_Evasion_Shield_Small"
translation "Prefix_Magic_Evasion_Shield_Medium","Prefix_Magic_Evasion_Shield_Medium"
translation "Prefix_Magic_Evasion_Shield_Larger","Prefix_Magic_Evasion_Shield_Larger"
translation "Prefix_Magic_Evasion_Shield_Largest","Prefix_Magic_Evasion_Shield_Largest"
translation "Suffix_Magic_Evasion_Shield_Small","Suffix_Magic_Evasion_Shield_Small"
translation "Suffix_Magic_Evasion_Shield_Medium","Suffix_Magic_Evasion_Shield_Medium"
translation "Suffix_Magic_Evasion_Shield_Larger","Suffix_Magic_Evasion_Shield_Larger"
translation "Suffix_Magic_Evasion_Shield_Largest","Suffix_Magic_Evasion_Shield_Largest"
translation "Prefix_Magic_ArmorDefense_Armor_Small","Prefix_Magic_ArmorDefense_Armor_Small"
translation "Prefix_Magic_ArmorDefense_Armor_Medium","Prefix_Magic_ArmorDefense_Armor_Medium"
translation "Prefix_Magic_ArmorDefense_Armor_Larger","Prefix_Magic_ArmorDefense_Armor_Larger"
translation "Prefix_Magic_ArmorDefense_Armor_Largest","Prefix_Magic_ArmorDefense_Armor_Largest"
translation "Suffix_Magic_ArmorDefense_Armor_Small","Suffix_Magic_ArmorDefense_Armor_Small"
translation "Suffix_Magic_ArmorDefense_Armor_Medium","Suffix_Magic_ArmorDefense_Armor_Medium"
translation "Suffix_Magic_ArmorDefense_Armor_Larger","Suffix_Magic_ArmorDefense_Armor_Larger"
translation "Suffix_Magic_ArmorDefense_Armor_Largest","Suffix_Magic_ArmorDefense_Armor_Largest"
translation "Prefix_Magic_Speed_Armor_Small","Prefix_Magic_Speed_Armor_Small"
translation "Prefix_Magic_Speed_Armor_Medium","Prefix_Magic_Speed_Armor_Medium"
translation "Prefix_Magic_Speed_Armor_Larger","Prefix_Magic_Speed_Armor_Larger"
translation "Prefix_Magic_Speed_Armor_Largest","Prefix_Magic_Speed_Armor_Largest"
translation "Suffix_Magic_Speed_Armor_Small","Suffix_Magic_Speed_Armor_Small"
translation "Suffix_Magic_Speed_Armor_Medium","Suffix_Magic_Speed_Armor_Medium"
translation "Suffix_Magic_Speed_Armor_Larger","Suffix_Magic_Speed_Armor_Larger"
translation "Suffix_Magic_Speed_Armor_Largest","Suffix_Magic_Speed_Armor_Largest"
translation "Prefix_Magic_Initiative_Armor_Small","Prefix_Magic_Initiative_Armor_Small"
translation "Prefix_Magic_Initiative_Armor_Medium","Prefix_Magic_Initiative_Armor_Medium"
translation "Prefix_Magic_Initiative_Armor_Larger","Prefix_Magic_Initiative_Armor_Larger"
translation "Prefix_Magic_Initiative_Armor_Largest","Prefix_Magic_Initiative_Armor_Largest"
translation "Suffix_Magic_Initiative_Armor_Small","Suffix_Magic_Initiative_Armor_Small"
translation "Suffix_Magic_Initiative_Armor_Medium","Suffix_Magic_Initiative_Armor_Medium"
translation "Suffix_Magic_Initiative_Armor_Larger","Suffix_Magic_Initiative_Armor_Larger"
translation "Suffix_Magic_Initiative_Armor_Largest","Suffix_Magic_Initiative_Armor_Largest"
translation "Prefix_Magic_Durability_Armor_Small","Prefix_Magic_Durability_Armor_Small"
translation "Prefix_Magic_Durability_Armor_Medium","Prefix_Magic_Durability_Armor_Medium"
translation "Prefix_Magic_Durability_Armor_Larger","Prefix_Magic_Durability_Armor_Larger"
translation "Prefix_Magic_Durability_Armor_Largest","Prefix_Magic_Durability_Armor_Largest"
translation "Suffix_Magic_Durability_Armor_Small","Suffix_Magic_Durability_Armor_Small"
translation "Suffix_Magic_Durability_Armor_Medium","Suffix_Magic_Durability_Armor_Medium"
translation "Suffix_Magic_Durability_Armor_Larger","Suffix_Magic_Durability_Armor_Larger"
translation "Suffix_Magic_Durability_Armor_Largest","Suffix_Magic_Durability_Armor_Largest"
translation "Prefix_Magic_Value_Armor_Small","Prefix_Magic_Value_Armor_Small"
translation "Prefix_Magic_Value_Armor_Medium","Prefix_Magic_Value_Armor_Medium"
translation "Prefix_Magic_Value_Armor_Larger","Prefix_Magic_Value_Armor_Larger"
translation "Prefix_Magic_Value_Armor_Largest","Prefix_Magic_Value_Armor_Largest"
translation "Suffix_Magic_Value_Armor_Small","Suffix_Magic_Value_Armor_Small"
translation "Suffix_Magic_Value_Armor_Medium","Suffix_Magic_Value_Armor_Medium"
translation "Suffix_Magic_Value_Armor_Larger","Suffix_Magic_Value_Armor_Larger"
translation "Suffix_Magic_Value_Armor_Largest","Suffix_Magic_Value_Armor_Largest"
translation "Prefix_Magic_Strength_Armor_Small","Prefix_Magic_Strength_Armor_Small"
translation "Prefix_Magic_Strength_Armor_Medium","Prefix_Magic_Strength_Armor_Medium"
translation "Prefix_Magic_Strength_Armor_Larger","Prefix_Magic_Strength_Armor_Larger"
translation "Prefix_Magic_Strength_Armor_Largest","Prefix_Magic_Strength_Armor_Largest"
translation "Suffix_Magic_Strength_Armor_Small","Suffix_Magic_Strength_Armor_Small"
translation "Suffix_Magic_Strength_Armor_Medium","Suffix_Magic_Strength_Armor_Medium"
translation "Suffix_Magic_Strength_Armor_Larger","Suffix_Magic_Strength_Armor_Larger"
translation "Suffix_Magic_Strength_Armor_Largest","Suffix_Magic_Strength_Armor_Largest"
translation "Prefix_Magic_Agility_Armor_Small","Prefix_Magic_Agility_Armor_Small"
translation "Prefix_Magic_Agility_Armor_Medium","Prefix_Magic_Agility_Armor_Medium"
translation "Prefix_Magic_Agility_Armor_Larger","Prefix_Magic_Agility_Armor_Larger"
translation "Prefix_Magic_Agility_Armor_Largest","Prefix_Magic_Agility_Armor_Largest"
translation "Suffix_Magic_Agility_Armor_Small","Suffix_Magic_Agility_Armor_Small"
translation "Suffix_Magic_Agility_Armor_Medium","Suffix_Magic_Agility_Armor_Medium"
translation "Suffix_Magic_Agility_Armor_Larger","Suffix_Magic_Agility_Armor_Larger"
translation "Suffix_Magic_Agility_Armor_Largest","Suffix_Magic_Agility_Armor_Largest"
translation "Prefix_Magic_Intelligence_Armor_Small","Prefix_Magic_Intelligence_Armor_Small"
translation "Prefix_Magic_Intelligence_Armor_Medium","Prefix_Magic_Intelligence_Armor_Medium"
translation "Prefix_Magic_Intelligence_Armor_Larger","Prefix_Magic_Intelligence_Armor_Larger"
translation "Prefix_Magic_Intelligence_Armor_Largest","Prefix_Magic_Intelligence_Armor_Largest"
translation "Suffix_Magic_Intelligence_Armor_Small","Suffix_Magic_Intelligence_Armor_Small"
translation "Suffix_Magic_Intelligence_Armor_Medium","Suffix_Magic_Intelligence_Armor_Medium"
translation "Suffix_Magic_Intelligence_Armor_Larger","Suffix_Magic_Intelligence_Armor_Larger"
translation "Suffix_Magic_Intelligence_Armor_Largest","Suffix_Magic_Intelligence_Armor_Largest"
translation "Prefix_Magic_Survival_Armor_Small","Prefix_Magic_Survival_Armor_Small"
translation "Prefix_Magic_Survival_Armor_Medium","Prefix_Magic_Survival_Armor_Medium"
translation "Prefix_Magic_Survival_Armor_Larger","Prefix_Magic_Survival_Armor_Larger"
translation "Prefix_Magic_Survival_Armor_Largest","Prefix_Magic_Survival_Armor_Largest"
